Start              	End                	Duration	Filename                                                                        	Procnum

File : ./pro_inter_daily_20180507000000.log
2018-05-07 00:00:04	2018-05-07 00:00:08	       4	AZF_MSSBHQH_1AZFHUA2_AP2b00111824.dat_DECODED_2724_HW_MSC_SMS_IDD_ROAMIN        	239 
2018-05-07 00:00:08	2018-05-07 00:00:12	       4	MSSBHQH02_b01302000-2.dat_DECODED_3443_NET_SMS                                  	357 
2018-05-07 00:00:12	2018-05-07 00:00:15	       3	MSSBHQH03_2_AP2b00234331-3-02.dat_DECODED_2252_NET_SMS                          	347 
2018-05-07 00:00:15	2018-05-07 00:00:19	       4	AZF_MSSBHQH_1AZFHUA1_b00141056.dat_DECODED_2725_HW_MSC_SMS_IDD_ROAMIN           	258 
2018-05-07 00:00:19	2018-05-07 00:00:23	       4	AZF_MSSBHQH_2AZFHUA2_AP2b00127267.dat_DECODED_2727_HW_MSC_SMS_IDD_ROAMIN        	237 
2018-05-07 00:00:23	2018-05-07 00:00:27	       4	AZF_MSSBHQH_3AZFHUA1_b00138764.dat_DECODED_2726_HW_MSC_SMS_IDD_ROAMIN           	236 
2018-05-07 00:00:27	2018-05-07 00:00:31	       4	MSSBHQH01_b01317665-1.dat_DECODED_8658_NET_SMS                                  	429 
2018-05-07 00:00:31	2018-05-07 00:00:43	      12	CSVSM_vmcazbj12.bakcell.com_20180506173743Z.csv_n2_DECODED_6934_mco_xura_NET    	795 
2018-05-07 00:00:43	2018-05-07 00:00:46	       3	MSSBHQ01_2_AP2b00234165-1-02.dat_DECODED_8659_NET_SMS                           	329 
2018-05-07 00:00:46	2018-05-07 00:00:51	       5	MSSBHQH03_b01289173-3.dat_DECODED_2253_NET_SMS                                  	451 
2018-05-07 00:00:51	2018-05-07 00:00:55	       4	AZF_MSSBHQH_2AZFHUA1_b00125479.dat_DECODED_2728_HW_MSC_SMS_IDD_ROAMIN           	267 
2018-05-07 00:00:55	2018-05-07 00:00:58	       3	MSSBHQH02_b01302001-2.dat_DECODED_3445_NET_SMS                                  	347 
